Time,Source_IP,Destination_IP,Source_Port,Destination_Port,MQTT_Type,MQTT_Topic,MQTT_Payload,Temperature (°C),Humidity (%),Packet_Length,Protocol,Dir,Flgs,SrcBytes,DstBytes,Load,Loss,Jitter,SrcGap,DstGap,SIntPkt,DIntPkt,SIntPktAct,DIntPktAct,sMaxPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,Dur,Trans,TotPkts,TotBytes,Rate,Label
1744349670,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.67654557,3.021502972,3.021502972,3.021502972,3.021502972,3.021502972,3.021502972,58,57,57,58,3.021502972,1,1,115,0.330950164,0
1744349673,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,3.609858034,3.045072079,3.045072079,3.045072079,3.045072079,3.045072079,3.045072079,58,57,57,58,3.045072079,1,1,115,0.328388667,0
1744349676,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,2.185245955,2.950090885,2.950090885,2.950090885,2.950090885,2.950090885,2.950090885,58,57,57,58,2.950090885,1,1,115,0.338961118,0
1744349679,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.830114626,3.029803991,3.029803991,3.029803991,3.029803991,3.029803991,3.029803991,58,57,57,58,3.029803991,1,1,115,0.330043461,0
1744349682,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,0.934066826,3.028658152,3.028658152,3.028658152,3.028658152,3.028658152,3.028658152,58,57,57,58,3.028658152,1,1,115,0.330168323,0
1744349685,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.065251511,3.037594795,3.037594795,3.037594795,3.037594795,3.037594795,3.037594795,58,57,57,58,3.037594795,1,1,115,0.329196996,0
1744349688,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,2.976362511,3.026019096,3.026019096,3.026019096,3.026019096,3.026019096,3.026019096,58,57,57,58,3.026019096,1,1,115,0.33045626,0
1744349691,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.418638443,3.0242939,3.0242939,3.0242939,3.0242939,3.0242939,3.0242939,58,57,57,58,3.0242939,1,1,115,0.330644762,0
1744349694,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,2.822416784,2.993633986,2.993633986,2.993633986,2.993633986,2.993633986,2.993633986,58,57,57,58,2.993633986,1,1,115,0.334031014,0
1744349697,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,1.486874535,3.045778036,3.045778036,3.045778036,3.045778036,3.045778036,3.045778036,58,57,57,58,3.045778036,1,1,115,0.328312555,0
1744349700,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,1.072483773,2.971503973,2.971503973,2.971503973,2.971503973,2.971503973,2.971503973,58,57,57,58,2.971503973,1,1,115,0.336518597,0
1744349703,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,0.729521493,3.030341148,3.030341148,3.030341148,3.030341148,3.030341148,3.030341148,58,57,57,58,3.030341148,1,1,115,0.32998496,0
